S. No.,State,City,Amount released during FY 2019-20,Amount released during FY 2020-21,Amount released during FY 2021-22,Total fund released,Utilisation as on June 2022
1,Andhra Pradesh,Vijaywada,6,-,-,6,22.91
2,Andhra Pradesh,Guntur,0.12,0.76,1.96,2.84,22.91
3,Andhra Pradesh,Kurnool,0.06,0.76,1.36,2.18,22.91
4,Andhra Pradesh,Nellore,0.06,0.76,1.92,2.74,22.91
5,Andhra Pradesh,Visakhapatnam,0.12,-,-,0.12,22.91
6,Andhra Pradesh,Srikakulam,-,2,0.49,2.49,22.91
7,Andhra Pradesh,Chitoor,-,2,0.46,2.46,22.91
8,Andhra Pradesh,Ongole,-,2,0.64,2.64,22.91
9,Andhra Pradesh,vizianagaram,-,2,0.83,2.83,22.91
10,Andhra Pradesh,Eluru,-,2,0.82,2.82,22.91
11,Andhra Pradesh,Rajahmundry,-,2,1.13,3.13,22.91
12,Andhra Pradesh,Anantapur,-,2,1.04,3.04,22.91
13,Andhra Pradesh,Kadapa,-,1,0.83,1.83,22.91
14,Assam,Guwahati,0.12,5,-,5.12,1.45
15,Assam,Nagaon,0.06,2,-,2.06,1.45
16,Assam,Nalbari,0.06,1,-,1.06,1.45
17,Assam,Sibsagar,0.06,2,-,2.06,1.45
18,Assam,Silchar,0.06,2,-,2.06,1.45
19,Bihar,Patna,10,-,-,10,15.2
20,Bihar,Gaya,0.1,2,1.9,4,15.2
21,Bihar,Muzaffarpur,0.1,5,2.5,7.6,15.2
22,Chandigarh,Chandigarh,8.28,5,4.61,17.89,10.83
23,Chhattisgarh,Raipur,6,-,-,6,2.76
24,Chhattisgarh,Durg Bhilainagar,6,-,-,6,2.76
25,Chhattisgarh,Korba,0.06,1,-,1.06,2.76
26,Delhi,Delhi,-,-,11.25,11.25,-
27,Gujarat,Surat,6,-,-,6,12
28,Gujarat,Ahmedabad,6,-,-,6,12
29,Himachal Pradesh,Baddi (Baddi&nalagarh considered twin during FY 20-21),0.06,3,0.2,3.26,6.35
30,Himachal Pradesh,Nalagarh,0.06,-,0.06,0.12,6.35
31,Himachal Pradesh,Paonta Sahib,0.06,1,0.1,1.16,6.35
32,Himachal Pradesh,Sunder Nagar,0.06,1,0.08,1.14,6.35
33,Himachal Pradesh,Kala Amb,-,3,0,3,6.35
34,Himachal Pradesh,Damtal,-,1,0.01,1.01,6.35
35,Himachal Pradesh,Parwanoo,-,1,0.03,1.03,6.35
36,Jammu & Kashmir,Jammu,0.12,3,4.89,8.01,0.12
37,Jammu & Kashmir,Srinagar,-,5,7.95,12.95,0.12
38,Jharkhand,Dhanbad,6,-,-,6,3
39,Karnataka,Bangalore,6,-,-,6,7.39
40,Karnataka,Gulburga,0.12,0.38,2.24,2.74,7.39
41,Karnataka,Hubli-Dharwad,0.12,0.38,3.68,4.18,7.39
42,Karnataka,Devangere,0.06,0.76,1.4,2.22,7.39
43,Madhya Pradesh,Bhopal,10,-,-,10,20.96
44,Madhya Pradesh,Gwalior,10,-,-,10,20.96
45,Madhya Pradesh,Indore,0.2,-,-,0.2,20.96
46,Madhya Pradesh,Ujjain,0.2,0.38,2.33,2.91,20.96
47,Madhya Pradesh,Sagar,0.1,0.76,1.36,2.22,20.96
48,Madhya Pradesh,Dewas,0.1,0.38,1.33,1.81,20.96
49,Maharashtra,Mumbai,9.5,-,-,9.5,29.92
50,Maharashtra,Nagpur,9.45,-,-,9.45,29.92
51,Maharashtra,Navi Mumbai,9.45,-,-,9.45,29.92
52,Maharashtra,Pune,9.45,-,-,9.45,29.92
53,Maharashtra,Amravati,0.2,1.14,2.91,4.25,29.92
54,Maharashtra,Aurangabad,0.2,-,-,0.2,29.92
55,Maharashtra,Nashik,0.2,-,-,0.2,29.92
56,Maharashtra,Kolhapur,0.2,0.76,-,0.96,29.92
57,Maharashtra,Sangli,0.2,0.76,1.72,2.68,29.92
58,Maharashtra,Solapur,0.2,0.38,4.2,4.78,29.92
59,Maharashtra,Ulhasnagar,0.2,1.9,-,2.1,29.92
60,Maharashtra,Akola,0.1,1.14,1.47,2.71,29.92
61,Maharashtra,Badlapur,0.1,1.9,-,2,29.92
62,Maharashtra,Chandrapur,0.1,1.14,-,1.24,29.92
63,Maharashtra,Jalgaon,0.1,0.76,-,0.86,29.92
64,Maharashtra,Jalna,0.1,1.14,-,1.24,29.92
65,Maharashtra,Latur,0.1,0.38,1.6,2.08,29.92
66,Meghalaya,Byrnihat,-,3,0,3,1.97
67,Nagaland,Dimapur,0.06,3,0.53,3.59,6.12
68,Nagaland,Kohima,0.06,3,0.4,3.46,6.12
69,Odisha,Twin City Bhubaneshwar & Cuttack,6,-,-,6,3.62
70,Odisha,Balasore,0.06,0.76,-,0.82,3.62
71,Odisha,Rourkela,0.06,1.14,-,1.2,3.62
72,Odisha,Angul,0.06,1.14,-,1.2,3.62
73,Odisha,Kalinga Nagar,-,3,-,3,3.62
74,Odisha,Talcher,-,-,0.22,0.22,3.62
75,Odisha,Cuttack,-,-,3.42,3.42,3.62
76,Punjab,Ludhiana,6,-,-,6,3.02
77,Punjab,Amritsar,6,-,-,6,3.02
78,Punjab,Jalandhar,0.12,4,-,4.12,3.02
79,Punjab,Khanna,0.06,1.9,-,1.96,3.02
80,Punjab,Gobindgarh,0.06,3,-,3.06,3.02
81,Punjab,NayaNangal,0.06,1,-,1.06,3.02
82,Punjab,Dera Baba Nanak,0.06,0.76,-,0.82,3.02
83,Punjab,Patiala,0.06,4,-,4.06,3.02
84,Punjab,DeraBassi,0.06,0.38,-,0.44,3.02
85,Rajasthan,Jaipur,6,-,-,6,12.55
86,Rajasthan,Jodhpur,6,-,-,6,12.55
87,Rajasthan,Kota,6,-,-,6,12.55
88,Rajasthan,Alwar,0.06,1.9,-,1.96,12.55
89,Rajasthan,Udaipur,0.06,1.9,-,1.96,12.55
90,Tamil Nadu,Tuticorin,0.06,3,-,3.06,-
91,Telangana,Hyderabad,10.8,-,-,10.8,9.72
92,Telangana,Nalgonda,0.1,0.38,0.47,0.95,9.72
93,Telangana,Patencheru,0.1,0.38,-,0.48,9.72
94,Telangana,Sangareddy,-,2,0.32,2.32,9.72
95,Uttar Pradesh,Agra,9.45,-,-,9.45,30.57
96,Uttar Pradesh,Allahabad,9.45,-,-,9.45,30.57
97,Uttar Pradesh,Kanpur,9.45,-,-,9.45,30.57
98,Uttar Pradesh,Lucknow,9.45,-,-,9.45,30.57
99,Uttar Pradesh,Varanasi,9.47,-,-,9.47,30.57
100,Uttar Pradesh,Moradabad,0.2,1.9,-,2.1,30.57
101,Uttar Pradesh,Bareily,0.2,1.9,-,2.1,30.57
102,Uttar Pradesh,Firozabad,0.2,1.9,-,2.1,30.57
103,Uttar Pradesh,Jhansi,0.2,1.14,-,1.34,30.57
104,Uttar Pradesh,Khurja,0.1,1.9,-,2,30.57
105,Uttar Pradesh,Anpara,0.1,1.14,-,1.24,30.57
106,Uttar Pradesh,Gajraula,0.1,1.14,-,1.24,30.57
107,Uttar Pradesh,Raebareli,0.1,1.14,-,1.24,30.57
108,Uttar Pradesh,Gorakhpur,-,-,9.64,9.64,30.57
109,Uttar Pradesh,Noida,-,-,6.67,6.67,30.57
110,Uttarakhand,Kashipur,0.06,3,0.79,3.85,8.15
111,Uttarakhand,Rishikesh,0.06,5,-,5.06,8.15
112,Uttarakhand,Dehradun,-,3,4.88,7.88,8.15
113,West Bengal,Kolkata,6,-,-,6,19
114,West Bengal,Howrah,-,5,-,5,19
115,West Bengal,Haldia,-,3,-,3,19
116,West Bengal,Durgapur,-,3,-,3,19
117,West Bengal,Barrackpore,-,2,-,2,19
