State,Population,Area (km2)
Uttar Pradesh,199812341,240928
Maharashtra,112374333,307713
Bihar,104099452,94163
West Bengal,91276115,88752
Madhya Pradesh,72626809,308252
Tamil Nadu,72147030,130058
Rajasthan,68548437,342239
Karnataka,61095297,191791
Gujarat,60439692,196024
Andhra Pradesh,49577103,162975
Odisha,41974219,155707
Telangana,35003674,112077
Kerala,33406061,38863
Jharkhand,32988134,79716
Assam,31205576,78438
Punjab,27743338,50362
Chhattisgarh,25545198,135192
Delhi,16787941,1484
Haryana,25351462,44212
Jammu and Kashmir,12267032,42241
Uttarakhand,10086292,53483
Himachal Pradesh,6864602,55673
Tripura,3673917,10491
Manipur,2570390,22327
Meghalaya,2966889,22429
Nagaland,1978502,16579
Arunachal Pradesh,1383727,83743
Puducherry,1247953,479
Mizoram,1097206,21081
Chandigarh,1055450,114
Sikkim,610577,7096